business,content
1,"An intercity railway linking Beijing and the Xiongan New Area will start construction in March, the Beijing News reported Monday, citing a report by China Railway Design Corp. The construction of the 92.783-kilometer intercity line, with a total investment of 33.38 billion yuan ($5.22 billion), is scheduled to last for two years and be completed in Feb 2020, the report said. The line will start from Liying Railway Station in Beijing's Daxing district, pass through Beijing's new airport, and terminate at Xiongan Railway Station in Xiongxian county. According to the report, the Beijing-Xiongan intercity rail line will be divided into three sections: Beijing West Railway Station-Liying Railway Station, Liying Railway Station-Beijing's new airport, and Beijing's new airport-Xiongan. The design speed of the Liying-Beijing's new airport line is set at 250 kilometers per hour, while the Beijing's new airport-Xiongan line is 350 kilometers per hour. Meanwhile, the Beijing-Xiongan intercity line will stop at five stations, including three new added stations: Gu'an East station, Bazhou North station and Xiongan station. China announced plans in April 2017 to establish the Xiongan New Area about 100 kilometers southwest of Beijing. It covers Hebei's Xiongxian, Rongcheng and Anxin counties. A transportation plan showing how the Xiongan New Area will link with Beijing, Tianjin and other areas in Hebei province was unveiled, China Central Television earlier reported. According to the plan, four north-south high-speed railway lines and two east-west routes will pass through Xiongan. Besides railways, the network map also includes seven expressways that will connect the new area to regions near and far."
1,"Version 2.0 of China's plan to open the financial sector to foreign investors was reinforced during the weekend when a senior regulator said market access thresholds for banks and insurance companies would be lowered or abolished. Speaking on Saturday, Wang Zhaoxing, vice-chairman of the China Banking and Insurance Regulatory Commission, said some rules, including certain ""quantitative"" requirements on the scale, years of operation and share proportions of foreign financial institutions will be eased. The move is aimed at persuading more professional overseas banks and insurance companies to enter the Chinese market. ""We are studying withdrawing or lowering these restrictions,"" Wang told the audience at the China Development Forum 2019, a large event that has been held by the think tank of the State Council, China's Cabinet, for 20 consecutive years. Wang said the regulator will allow foreign companies to provide more diversified financial products and services in the onshore market, taking advantage of their capabilities in terms of risk control and high-standard compliance. Executives of foreign financial institutions expect the ""second stage"" of China's financial opening-up to progress at a faster pace than previous developments and feature more market-oriented competition. ""We hope progress will continue and the Chinese market can keep opening so our bank can provide more business here,"" said Bill Winters, CEO of Standard Chartered Group, who expected to see more unified competition rules. Further opening-up of the financial sector seeks to channel more foreign capital to support economic growth amid trade tensions and weaker domestic investment. Last year, Yi Gang, governor of the People's Bank of China, the central bank, announced a package of financial opening measures. During the past year, the Banking and Insurance Regulatory Commission has launched 15 specific policies to open the market further. The measures include allowing foreign-funded banks to conduct operations such as underwriting government bonds, and lifting foreign ownership limits on banks and financial asset management firms. In his address on Saturday, Wang stressed that during the extended opening-up procedure, regulators will work to prevent systemic risks by strengthening the prevention of financial risks and building financial regulatory capacity compatible with the greater openness of the financial sector. Ng Keng Hooi, president and CEO of AIA Group, said: ""We are looking forward to the next stage of China's opening-up in the financial sector. As a foreign insurance company, we can bring in new ideas to facilitate the development of the domestic insurance industry."" On Friday, Bank of Beijing and ING Group, a banking and financial services corporation in the Netherlands, announced that they plan to establish a joint venture bank, becoming the first commercial lender in China controlled by a foreign shareholder. On Jan 28, the PBOC announced that it had approved an application from S&P Global to establish a wholly owned subsidiary in Beijing called S&P Ratings (China). Meanwhile, the National Association of Financial Market Institutional Investors also released a public notice confirming it had approved the registration of S&P Ratings (China) to conduct a bond credit ratings business in the interbank bond market, signaling the entry of the first foreign credit ratings agency into the domestic market."
1,"The first China International Import Expo is making a concerted effort to ensure the protection of intellectual property rights and deal with commercial disputes during the event. The event organizer, the China International Import Expo Bureau, has set up a center for IPR protection, where professionals from relevant departments have been invited to offer on-site consultation and services to participants. Wang Bingnan, vice-minister of commerce, said the expo attaches great importance to IPR protection because it is a platform for the release of new technologies and products, and it aims to create a fair trading environment and effectively safeguard the interests of all parties. According to the bureau, specific measures include a work plan for IPR protection during the expo, optimizing regulations on the exhibits and strengthening inspection. Local government departments have also formulated guidelines related to the issue and pushed forward measures to crack down on violations. The move symbolizes China's decadeslong effort to improve IPR protection. The government has made the task a priority and says the measures it has taken have proved effective. The country ranked 17th in terms of the ""most innovative economies"" in the annual Global Innovation Index released in July by the World Intellectual Property Organization and Cornell University in the United States. Last year, China moved up to second place in terms of international patent applications, with about 51,000 applications submitted. According to the Peterson Institute of International Economics in Washington, China's payments of licensing fees and royalties for the use of foreign technology recorded a fourfold increase in the past decade, reaching $28.6 billion last year, ranking fourth in the world. China ranks second globally in the scale of licensing fees paid for technology used within its borders, second only to the US. Shen Changyu, head of the State Intellectual Property Office, said the country will adopt stricter IPR protection regulations and continue to firmly uphold international rules on IPR. ""IPR protection is key to innovation-driven development and international trade, which also plays an indispensable role in the country's opening-up,"" Shen said at the 2018 China Patent Annual Conference in Beijing. He said the country will enhance international cooperation in IPR and promote the building of open, inclusive, balanced and effective international IPR rules. Jin Qin, director of the Office of Technology Transfer at Tsinghua University, said the government should place more emphasis on improving IPR protection, which can optimize the business environment and thereby facilitate innovation. Jin made the comments at the launch ceremony of the Nation Intellectual Property Protection Action Plan, which aims to improve IPR and give impetus to innovative activities."
0,"BEIJING - China's latest air pollution inspections have uncovered rampant violations of environmental rules among businesses, highlighting the tough battle ahead against pollution.  From early April to May 11, inspectors discovered that some 6,378 companies, or 66.7 percent of those examined, violated environmental standards, according to findings from a month of inspections across 28 cities in the Beijing-Tianjin-Hebei region and other nearby areas.  Of those, small-scale firms accounted for more than one-third as regulators struggled to properly regulate them, according to reports from the Ministry of Environmental Protection (MEP).  Excessive emissions and insufficient pollution-control equipment were among the most common problems for the inspected businesses. The MEP has asked local authorities to shut down or halt production at companies that failed to meet environmental protection standards.  The inspections are expected to last for a year.  Earlier official data showed cities in the Beijing-Tianjin-Hebei region saw more days with ""good"" air quality in April.  The 13 cities in the region reported good air quality on 23 days during the month on average, up 16.5 percent year on year. An average daily Air Quality Index (AQI) of less than 100 is defined as ""good"" under Chinese air quality standards."
1,"South Korea's Lotte Shopping said on Thursday that it has agreed to sell 21 Lotte Mart hypermarket and supermarket stores in China to Wumart Stores Inc for around 248.5 billion won ($230.2 million). Lotte will sell a 87.38 percent stake in Lotte Mart in Beijing to Wumart and keep the remaining shares, according to Lotte Mart China. Lotte Mart has 110 retail outlets in China. Of them, 99 are hypermarkets and 11 are supermarkets. The 21 outlets involved in the deal with Wumart include 10 hypermarkets and 11 supermarkets. Last year, Lotte Shopping picked Goldman Sachs to manage the sale of its Lotte Mart stores in China. Wumart is the leading retailer in Beijing and it makes sense to further strengthen its presence in Beijing by adding more stores from the deal, said Jason Yu, general manager of Kantar Worldpanel China, a research firm. Wumart has carried out its online-to-offline services through its mobile application Dmall to serve more consumers in the New Retail digital age, requiring more brick-and-mortar stores to shorten delivery distances between stores and consumers, Yu said. He added that consumers usually place orders using the app and the store delivers in 30 minutes. Therefore, Wumart wants to expand its store coverage to reach more consumers throughout the capital. Yu earlier said that Lotte Mart has been facing competition from Chinese retailers and e-commerce giants. Due to its limited presence, it could not build economies of scale or create an efficient supply chain, he said. According to Kantar's 2017 report on fast-moving consumer goods, the sector had sales growth of 4.3 percent year-on-year. Retailers associated with the two e-commerce giants Tencent and JD led by Walmart, Carrefour and Yonghui have market share of 12.8 percent, slightly higher than those retailers involved with Alibaba Group including Sun Art Retail, which operates leading supermarket chains RT-Mart and Auchan in China. International retailers have found a smaller market presence, falling from 11.1 percent in 2016 to 10.3 percent in 2017."
1,"Air routes and an advanced international railway network have transformed Chengdu - in landlocked Sichuan province - in major ways since China's reform and opening-up policies were introduced in the late 1970s. Now the city can align growth closely with the outside world thanks to the extensive transportation network. Every student of Chinese literature knows the famous line from Li Bai, a great poet in the Tang Dynasty (618-907): ""Traveling in Sichuan is as difficult as mounting to the sky."" That line would remind many Chinese people of Sichuan's deplorable inaccessibility in 1978. ""Forty years ago, Sichuan didn't have a single international air route. There was only a daily flight from Chengdu to Beijing. It took a day and two nights to get there on the fastest train at that time,"" said Shen Zaiwang, a senior official with Sichuan People's Association for Friendship with Foreign Countries. With the opening of the Xi'an-Chengdu Bullet Train a year ago, the trip takes only 10 hours. Known for its silk products in ancient times, Chengdu was a major source of cargo on the Silk Road, starting from Xi'an, Shaanxi province, some 700 kilometers away. Now, Chengdu not only has bullet trains linking to parts of China but also boasts trains linking to Europe. Last month, a freight train originating in Bremerhaven, Germany, arrived at the Chengdu International Railway Port in the first test of the China-EU Express Railway (Chengdu). It increased the number of overseas departure terminals to 22. The express railway, a direct line for freight that was launched in 2013 to connect Chengdu to Europe, has eliminated the geographic disadvantages of Chengdu as a landlocked city and transformed the city into an important logistics hub and economic exchange center between Europe and western China. Chengdu has sent 2,597 freight trains to Europe in the past five years, 25 percent of China's total. ""With the increasing global influence of the China-EU Express Railway (Chengdu), a growing number of multinational companies are establishing a presence here,"" said Zhang Tianyi, deputy director of the management committee of the city's railway port. Italy, France, Germany, the Netherlands, Israel and Moldova have located their national commodity pavilions at the port. A similar story has played out in the air. As the largest aviation hub in central and western China, Chengdu currently has 112 international air routes that enable it to expand cooperation and exchanges with the outside, while boosting domestic investment. It is home to 285 Fortune Global 500 companies and 17 foreign consulates, the most of any city in central and western China. Since its debut in the Chengdu - as part of the China (Sichuan) Pilot Free Trade Zone in early 2017 - the southwest operation center of dhgate.com said it has seen a 300 percent increase in business volume and a drop of around 30 percent in its logistics fees in the past 18 months. The company helps small and medium-sized enterprises in Sichuan sell their commodities in some 130 countries and regions. Its general manager, Zhu Rong, said the growth is largely due to the facility's proximity to Shuangliu International Airport in Chengdu. Du Jinyou, head of Chengdu's logistics office, said the city will accelerate the pace of setting up seven international railway channels, along with five channels that combine sea and rail transportation, in a bid to become the hub of the new Eurasian land bridge linking the Atlantic and Pacific oceans. Chengdu's global air network will include business routes covering 48 core aviation hubs and economic centers; cargo-only routes directly linking with 14 key logistics cities, including Frankfurt, Chicago and Amsterdam; and another 30 high-quality routes serving the demand for tourism and culture, he said. Peng Chao contributed to this story."
1,"Zhang Fan, 33, stopped by a newsstand one recent Sunday morning near his home in Beijing to buy a magazine, only to find the stand had been shut down. Zhang, a designer living on the Guangqumenwai street in Chaoyang district, used to visit a stand just 500 meters from his residential community to buy newspapers and magazines. But since he started to read news and other material on his phone, he can count on one hand the number of times he has visited the stand in the past year. He had not even noticed it had been closed for the past four months. Due to falling demand for newspapers and magazines, newsstands in many cities have been closing. They have also been criticized for obstructing roads and sidewalks and for generally being eyesores. The Beijing municipal government has decided to upgrade and regulate the city's newsstands by turning them into ""innovative reading spaces"" and ""convenient service providers"" to better serve the public. Li Zhigang, who is in his 40s and comes from Anhui province, runs a different newsstand in Guangqumenwai. ""I haven't been given any notice of closure, but I noticed most newsstands within the Second Ring Road were torn down this year,"" he said. ""I don't know any details about the new policy, but I hope I can continue my business."" According to the Beijing Municipal Commission of City Management, the city's newsstands will be better located based on passenger flow, the number of people living in nearby residential communities, and public demand. Under the plan drafted by the commission and the Beijing Municipal Commerce Bureau, newsstands will become more like convenience stores and be ""more fashionable"". The plan has been submitted to the municipal government for approval. An official with the commission, who declined to be named, said the plan clearly states that the number of newsstands in the city should be based on public need. ""There is no easy way to solve the contradiction between people who love the printed word and have the habit of buying from the newsstands, and the owners' continued operational losses,"" the official said. ""It's also difficult to decide which department is responsible for footing the bill to upgrade newsstands."",The commission - and many people in Beijing - wants the streets to be wider and cleaner. With this in mind, it introduced a regulation in summer last year banning all 352 newsstands in the downtown districts of Dongcheng and Xicheng from selling food and drinks. Three stands were closed for selling food illegally. Since then, many stands in the two districts have closed because most of their business came from food and drinks, while sales of newspapers and magazines were highly unprofitable. There are 1,186 newsstands in the city, of which 306 - that are not in the two districts - are licensed to sell food and drinks. The closure of stands has attracted public attention, with many people, especially the elderly, strongly opposed to administrative intervention, as they have happy memories of visiting them. Some people raised the idea of introducing newspaper vending machines, which are clean and convenient, but China Post Group is unwilling to pay for them as it believes they would be too costly to set up and they would not make a profit, according to an industry insider who declined to be named. The official with the commission said: ""The new policy has considered all aspects, and attempts to solve problems. We put the public interest first. The city will not keep a newsstand running for just a few people. Also, we won't remove a stand that has a good turnover. It all depends on the market and needs."" Generally, newsstands will be closer to their customers after they are moved to residential communities or become part of convenience stores. The government will make those that remain more attractive, the official said. Newsstands may be facing pressures now, but they have had their good days. Yang Na, who is in her 50s and comes from Hebei province, started running a stand in Beijing in 1998. In 2002, she bought her first apartment in the capital for 400,000 yuan - money she made from selling newspapers and magazines. Before the internet became widely available, and with Beijing being the country's cultural and political center, most people liked to get their news from newspapers and television bulletins. In 1997, the Beijing municipal government made setting up newsstands a city-level project and approved 75 stands that year.,In 1999, the city began setting up newsstands on a large scale. Two years later, the authorities decided to regulate the stands through an overall planning, management and supply channel. The peak year was 2008, when the city had 2,500 newsstands, more than twice the number now. At that time, Yang's stand only sold newspapers and magazines. Her profit was about 7,000 yuan a month. Ten years later, she makes almost the same amount with the help of food and drink sales. ""I miss the days in 2007 when I sold several boxes of fashion magazines each day,"" she said. On Jan 9, 2007, Steve Jobs, chairman, CEO and co-founder of Apple Inc, announced the arrival of the iPhone at his company in the United States. Since then, smartphones and the mobile internet have rapidly changed the reading habits of people worldwide. Yang said: ""From 2009, business started to decline. And it's never picked up again."" During a one-hour interview with Yang at her newsstand, seven customers arrived to buy drinks; four bought cigarettes and only one bought a newspaper. The man who bought the paper said: ""It's very convenient to have newsstands. I hope they will be kept by the authorities. As for food and drinks, I don't care. If they want to ban them for safety reasons, this is fine by me."" A customer who bought cigarettes said he had not bought any newspapers or magazines at this stand for years, adding, ""It's just a cigarettes stand for me."",Yang said she might start another small business, or retire if she cannot continue to run her newsstand. ""If there is a chance, I hope I can continue my newsstand business because I have been doing this for so long and many people living nearby come to buy newspapers or magazines regularly. We have become friends despite only exchanging a few words over the years. People know me,"" she said. More important, Yang said business is not as bad as some people think. As long as she can continue to sell food, drinks and cigarettes, the income can sustain her in Beijing, despite the high cost of living. According to China Post Group, the country had 30,506 newsstands at the end of 2014 - 20,000 fewer than in 2008. With the rise of the internet, and with newsstands starting to create problems such as obstructing roads and sidewalks, some cities have taken strict and quick action. In 2009, Wuxi city, Jiangsu province, removed 1,241 newsstands. In 2012, Zhengzhou, capital of Henan province, dismantled all 421 stands in the city and authorities said newspapers and magazines could only be sold in stores. Luo Ping, a writer who lives in Beijing's Tongzhou district, wrote to the authorities last year, saying that newsstands are still an important part of the city's public cultural system and should not be neglected. She received a reply thanking her for her letter, and saying her views would be taken into account. However, she still fears for the stands' future.,""It is not easy to build a network of newsstands in a city. They are the closest cultural facilities to ordinary people,"" Luo said. ""They have a reason to exist."" Luo suggested that newsstand owners could try to sell innovative cultural products such as paper cuts and needlework to make up for the losses from selling newspapers. However, all items sold at newsstands need to be approved by the authorities. Ding Xiaozhe, 43, an accountant, said of the disappearance of newsstands near his home in Dongcheng district: ""It's a natural choice. Things that no longer fit with the times will be abandoned or fade away, which is reasonable."" Ding loves to read and was a loyal buyer of the magazines National Geographic and Chinese National Geography at newsstands. ""Every time I moved apartments, I had to carry several heavy boxes of my prized magazines,"" he said. ""I love good memories, but times change. We can read so much information on cellphones, and order digital magazines online. There's really no need to keep that many newsstands. Generally speaking, it's a waste of social resources to keep something that's old-fashioned."" Despite differing opinions about newsstands, the Beijing municipal government has decided to find a way to keep streets clean while allowing some of the stands to remain with upgraded facilities. In 2014, the central government outlined the capital's core functions as the country's political, cultural, international communications, and scientific and technological innovation center.,Since then, as an ancient and traditional city, Beijing has started to use its advantages to strengthen its position as a cultural center. Measures have been introduced to protect old streets and relics, build new cultural landmarks, improve the libraries' network and service, host cultural activities and provide subsidies to support bookstores. Meanwhile, in Russia, the government has drafted a plan, suggesting there should be a newsstand for every 1,500 residents. In Paris, the authorities have attempted to expand the business scope of newsstands and reduce rents to help the owners. They allow the stands to sell food, drinks, souvenirs and candies to increase income. In Japan, there are convenience stores on nearly every street. Each community has more than one such store, which sell newspapers and magazines. Wang Hui, 33, the mother of a 6-year-old boy in Beijing, said she often buys cartoon and other magazines at a newsstand for him on her way home. ""I want to protect his eyes by reducing the time he spends on his cellphone and other digital devices. He likes reading magazines. It's better to buy them at newsstands, because in that way I don't need to subscribe for a whole year,"" she said. ""I think that reading decides our kids' futures. No matter whether there are newsstands or other places selling newspapers and magazines, reading will always continue in some way."""
0,"BEIJING -- Beijing's sub-center, which will sit in the east of the capital, aims to accommodate 1.3 million permanent residents by 2035, according to a detailed plan published Thursday. The city sub-center will cover 155 square kilometers and be extended to the whole area of the current Tongzhou District, which totals about 906 square kilometers, according to the plan for the sub-center's development for 2016 to 2035, approved by the Communist Party of China Central Committee and the State Council. The population density will be 9,000 residents per square kilometer at most so as to maintain a comfortable living environment, the document said. The plan pledged that the sub-center will be ""an urban area without urban ills,"" which will build an eco-friendly transport system focusing on public transport, adopt measures to control air, water and soil pollution, and develop strict management of water resources and intelligent urban management systems. ""The sub-center will not develop real estate projects on a large scale,"" the document said, adding that the market will play a decisive role in resource allocation. The plan also outlined the functions of the sub-center, measures for cultural development and coordinated development with surrounding areas in neighboring Hebei Province. Beijing is shifting some of its administrative functions out of the city center into Tongzhou to help address problems including traffic congestion and air pollution. The move is also part of the Beijing-Tianjin-Hebei integrated development plan. Beijing municipal government agencies have been moving their offices to Tongzhou since the end of 2017."
1,"Members of the 13th Chinese People's Political Consultative Conference (CPPCC) National Committee have mooted the idea of a social credit evaluation system for the entertainment sector, as China steps up efforts to bring order to an industry that was rocked by plagiarism, tax evasion and payments to create fake fan followings in 2018. The social credit system, a unified system that ranks trustworthiness across several parameters, is likely to be rolled out nationally in 2020. There have already been suggestions by some of the members at the ongoing session of the 13th CPPCC National Committee that the entertainment sector needs to be brought under its ambit. Gong Hanlin, a well-known comedian and a CPPCC National Committee member, suggested a blacklist mechanism that would impose punishments for offenders, similar to the social credit system that seeks to prevent offenders from purchasing train or flight tickets. ""It is necessary to curb such behavior,"" Gong said. Gong was referring to many gray industries, such as follower buying, as pop stars' online influence can help attract numerous business opportunities, considering the purchasing power of their fans. Cai Xukun, a popular singer who has worked with numerous brands like Chanel, was reported by State broadcaster CCTV as one of those who have created huge fake online fan followings. His latest post featuring a new song on Weibo, one of China's most popular social media platforms, received about 100 million reposts. The number was roughly one-third of the Weibo users in total. Such activities have been mushrooming recently with the growing popularity of social media. Agents who can create fake fan followings are found everywhere, be it on Taobao or on WeChat. In a demonstration video by CCTV, they offer various services from basic packages of fake fans and reposts, to customized services. A basic package of 400 followers on Weibo and 100 shares only costs about 10 yuan ($1.5). ""Creating fake fan followings can have negative public influence,"" said Zhang Kaili, a well-known actress and CPPCC National Committee member. ""But public reaction on such misconduct has proved to be a more serious deterrent, though there is no regulatory punishment,"" she said. Zhai Tianlin, an actor, was charged with plagiarizing his academic dissertation during his graduate studies at Beijing Film Academy. This drew online criticism and even triggered public anger especially from those who are still struggling to get a doctoral degree. In the past, ""highly educated"" was one of Zhai's labels to attract a large fan base. Recent reports revealed that Zhai's business and filming opportunities have been hurt by the scandal. The Beijing Film Academy said in February that Zhai's suspected plagiarism was under investigation. Hou Guangming, the Party secretary of Beijing Film Academy and a CPPCC National Committee member, said that higher education of film professionals should be more comprehensive and go in parallel with the ongoing efforts to boost acting and direction talent."
0,"Younger students experience school bullying more frequently than older ones, and male students are bullied more than their female peers, a survey found.  The 21st Century Education Research Institute, a think tank in Beijing, surveyed 1,003 students from 12 schools in the city - four primary schools, four middle schools and four high schools.  It found that nearly half of students had been intentionally bumped or knocked down by classmates. About 6 percent said they are targeted by bullies on campus every day.  The survey also found that students from ordinary schools experienced more bullying than peers from key institutions, and children from poor families are more likely to be bullied at school.  Being bullied can have an adverse impact on a child's personal development and academic performance, according to Zhou Jinyan, a researcher who led the study at Beijing Normal University's Capital Institute for Economics of Education.  ""Children being bullied will find it hard to trust others,"" Zhou said. ""They may lack self-confidence and often feel anxiety, anger, resentment or depression. These emotions will further undermine their ability to control their own life.""  In recent years, bullying on Chinese campuses has been frequently reported and has attracted widespread attention and concern.  The most recent incident to trigger heated discussion took place in December at Beijing's prominent Zhongguancun No 2 Primary School. A fourth-grade student had a wastepaper basket from a bathroom thrown at him and was mocked by classmates, causing him acute stress disorder.  The Supreme People's Procuratorate, the top prosecuting authority, said in December that in the first 11 months of 2016 it received about 1,900 cases related to school bullying, leading to 1,100 arrests and 2,300 prosecutions.  Shi Weizhong, deputy director of the authority's Juvenile Procuratorial Affairs Office, said the vast majority of complaints filed with the authority involve male offenders, although the proportion of female offenders is rising.  Meanwhile, there was a notable increase in bullying reports involving middle school students 14 to 18 years old, he said.  Zhou came up with some ways to solve the problem, including boosting communication between teachers, parents and students and trying to establish more harmonious relationships among children.  She said it was ""strongly"" suggested that parents try to be involved in their children's educational experience, as their presence and companionship have proved effective in reducing bullying and its negative effects."
